home_team,away_team,home_odds,away_odds,draw_odds
Vegas Golden Knights,Arizona Coyotes,1.76,3.74,4.75
Colorado Avalanche,Calgary Flames,1.96,3.1,4.65
Detroit Red Wings,Minnesota Wild,2.5,2.33,4.5
Chicago Blackhawks,St. Louis Blues,3.05,2.06,4.55
Carolina Hurricanes,Columbus Blue Jackets,1.52,5.0,5.25
Nashville Predators,Winnipeg Jets,2.49,2.53,4.85
Edmonton Oilers,Anaheim Ducks,1.55,4.65,5.35
Columbus Blue Jackets,Boston Bruins,4.6,1.59,5.0
NY Rangers,Buffalo Sabres,1.69,4.2,4.75
Ottawa Senators,Florida Panthers,2.72,2.18,4.55
Colorado Avalanche,Tampa Bay Lightning,2.15,2.8,4.5
Calgary Flames,Vegas Golden Knights,2.65,2.47,4.5
San Jose Sharks,Washington Capitals,4.2,1.68,4.65
New Jersey Devils,NY Islanders,2.0,3.15,4.55
Toronto Maple Leafs,Florida Panthers,2.24,2.89,4.75
Philadelphia Flyers,Carolina Hurricanes,3.1,2.02,4.5
Minnesota Wild,St. Louis Blues,1.98,3.15,4.6
Nashville Predators,Pittsburgh Penguins,2.45,2.45,4.45
Winnipeg Jets,Dallas Stars,2.6,2.29,4.4
Chicago Blackhawks,Seattle Kraken,3.4,1.9,4.6
Arizona Coyotes,Tampa Bay Lightning,2.61,2.3,4.6
Edmonton Oilers,Vegas Golden Knights,2.04,2.95,4.6
Vancouver Canucks,Anaheim Ducks,1.61,4.35,5.15
Columbus Blue Jackets,Montreal Canadiens,2.16,2.7,4.55
NY Rangers,Detroit Red Wings,1.81,3.6,4.6
Los Angeles Kings,Washington Capitals,1.77,3.75,4.7
Boston Bruins,San Jose Sharks,1.32,8.0,6.45
Detroit Red Wings,Chicago Blackhawks,1.84,3.55,4.5
Montreal Canadiens,Florida Panthers,4.33,1.65,4.85
Philadelphia Flyers,New Jersey Devils,2.8,2.13,4.33
Tampa Bay Lightning,Pittsburgh Penguins,2.16,2.76,4.4
Toronto Maple Leafs,Seattle Kraken,1.9,3.3,4.5
Carolina Hurricanes,NY Islanders,1.85,3.55,4.6
Nashville Predators,Minnesota Wild,2.32,2.6,4.3
St. Louis Blues,Buffalo Sabres,2.25,2.6,4.4
Winnipeg Jets,Edmonton Oilers,2.61,2.47,4.65
Arizona Coyotes,Colorado Avalanche,3.45,1.86,4.55
Calgary Flames,Dallas Stars,2.65,2.25,4.3
Anaheim Ducks,Washington Capitals,2.57,2.32,4.25
Vancouver Canucks,Vegas Golden Knights,2.29,2.6,4.3
Columbus Blue Jackets,Ottawa Senators,3.05,1.98,4.5
New Jersey Devils,San Jose Sharks,1.37,7.0,6.0
Dallas Stars,Tampa Bay Lightning,2.11,2.85,4.45
Winnipeg Jets,Chicago Blackhawks,1.56,4.75,5.05
Nashville Predators,NY Rangers,3.15,1.97,4.4
Florida Panthers,NY Islanders,1.95,3.25,4.45
Carolina Hurricanes,Buffalo Sabres,1.66,4.33,4.85
Montreal Canadiens,Detroit Red Wings,3.0,2.03,4.45
